ENTIDAD FEDERATIVA,FACULTAD O ESCUELA DE MEDICINA,SUSTENTANTES,SELECCIONADOS,PROMEDIO GENERAL,AGNO
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL ESCUELA SUPERIOR DE MEDICINA,1333,307,61.629,2016
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL ESCUELA NACIONAL DE MEDICINA Y HOMEOPATIA,687,88,57.919,2016
CIUDAD DE MEXICO,UNAM FES ZARAGOZA,475,97,59.661,2016
CIUDAD DE MEXICO,UNAM FM CU,1959,545,64.409,2016
CIUDAD DE MEXICO,UNIVERSIDAD AUTONOMA METROPOLITANA  UNIDAD XOCHIMILCO,448,75,61.075,2016
CIUDAD DE MEXICO,UNIVERSIDAD JUSTO SIERRA,270,25,56.049,2016
CIUDAD DE MEXICO,UNIVERSIDAD LA SALLE,350,133,67.779,2016
CIUDAD DE MEXICO,UNIVERSIDAD PANAMERICANA,51,31,73.46,2016
CIUDAD DE MEXICO,UNIVERSIDAD WEST HILL INSTITUTE,183,22,58.993,2016
COAHUILA,UNIVERSIDAD AUTONOMA DE COAHUILA UNIDAD SALTILLO,113,33,65.87,2016
COAHUILA,UNIVERSIDAD AUTONOMA DE COAHUILA UNIDAD TORREON,182,65,65.924,2016
COAHUILA,UNIVERSIDAD DEL VALLE DE MEXICO  UNIDAD SALTILLO,42,5,57.825,2016
COLIMA,UNIVERSIDAD AUTONOMA DE COLIMA,228,63,62.641,2016
DURANGO,UNIVERSIDAD AUTONOMA DE DURANGO UNIDAD DURANGO,17,1,55.948,2016
DURANGO,UNIVERSIDAD AUTONOMA ESPA GN A DE DURANGO,21,1,52.042,2016
DURANGO,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO UNIDAD DURANGO,427,83,59.346,2016
DURANGO,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO UNIDAD GOMEZ PALACIO,229,53,61.347,2016
